ticker,announcement_date,T-10,T-9,T-8,T-7,T-6,T-5,T-4,T-3,T-2,T-1,T+0,T+1,T+2,T+3,T+4,T+5,T+6,T+7,T+8,T+9,T+10
^IXIC,2000-02-02,,"Ticker
   -0.032894
Name: 2000-01-24 00:00:00, dtype: float64","Ticker
    0.017414
Name: 2000-01-25 00:00:00, dtype: float64","Ticker
   -0.023396
Name: 2000-01-26 00:00:00, dtype: float64","Ticker
   -0.007457
Name: 2000-01-27 00:00:00, dtype: float64","Ticker
   -0.037749
Name: 2000-01-28 00:00:00, dtype: float64",,,"Ticker
    0.013707
Name: 2000-01-31 00:00:00, dtype: float64","Ticker
    0.02833
Name: 2000-02-01 00:00:00, dtype: float64","Ticker
    0.005425
Name: 2000-02-02 00:00:00, dtype: float64","Ticker
    0.033633
Name: 2000-02-03 00:00:00, dtype: float64","Ticker
    0.007875
Name: 2000-02-04 00:00:00, dtype: float64",,,"Ticker
    0.018291
Name: 2000-02-07 00:00:00, dtype: float64","Ticker
    0.024465
Name: 2000-02-08 00:00:00, dtype: float64","Ticker
   -0.014514
Name: 2000-02-09 00:00:00, dtype: float64","Ticker
    0.02805
Name: 2000-02-10 00:00:00, dtype: float64","Ticker
   -0.020104
Name: 2000-02-11 00:00:00, dtype: float64",
^IXIC,2000-03-21,,,"Ticker
   -0.028004
Name: 2000-03-13 00:00:00, dtype: float64","Ticker
   -0.04088
Name: 2000-03-14 00:00:00, dtype: float64","Ticker
   -0.026348
Name: 2000-03-15 00:00:00, dtype: float64","Ticker
    0.029409
Name: 2000-03-16 00:00:00, dtype: float64","Ticker
    0.017115
Name: 2000-03-17 00:00:00, dtype: float64",,,"Ticker
   -0.039209
Name: 2000-03-20 00:00:00, dtype: float64","Ticker
    0.022056
Name: 2000-03-21 00:00:00, dtype: float64","Ticker
    0.032487
Name: 2000-03-22 00:00:00, dtype: float64","Ticker
    0.015594
Name: 2000-03-23 00:00:00, dtype: float64","Ticker
    0.004538
Name: 2000-03-24 00:00:00, dtype: float64",,,"Ticker
   -0.000901
Name: 2000-03-27 00:00:00, dtype: float64","Ticker
   -0.025142
Name: 2000-03-28 00:00:00, dtype: float64","Ticker
   -0.039145
Name: 2000-03-29 00:00:00, dtype: float64","Ticker
   -0.040214
Name: 2000-03-30 00:00:00, dtype: float64","Ticker
    0.025783
Name: 2000-03-31 00:00:00, dtype: float64"
^IXIC,2000-05-16,,,"Ticker
   -0.038629
Name: 2000-05-08 00:00:00, dtype: float64","Ticker
   -0.022993
Name: 2000-05-09 00:00:00, dtype: float64","Ticker
   -0.055866
Name: 2000-05-10 00:00:00, dtype: float64","Ticker
    0.033932
Name: 2000-05-11 00:00:00, dtype: float64","Ticker
    0.008424
Name: 2000-05-12 00:00:00, dtype: float64",,,"Ticker
    0.022269
Name: 2000-05-15 00:00:00, dtype: float64","Ticker
    0.030469
Name: 2000-05-16 00:00:00, dtype: float64","Ticker
   -0.019532
Name: 2000-05-17 00:00:00, dtype: float64","Ticker
   -0.02915
Name: 2000-05-18 00:00:00, dtype: float64","Ticker
   -0.041911
Name: 2000-05-19 00:00:00, dtype: float64",,,"Ticker
   -0.007725
Name: 2000-05-22 00:00:00, dtype: float64","Ticker
   -0.059348
Name: 2000-05-23 00:00:00, dtype: float64","Ticker
    0.033515
Name: 2000-05-24 00:00:00, dtype: float64","Ticker
   -0.019953
Name: 2000-05-25 00:00:00, dtype: float64","Ticker
   -0.000075
Name: 2000-05-26 00:00:00, dtype: float64"
^IXIC,2000-06-28,,"Ticker
    0.033485
Name: 2000-06-19 00:00:00, dtype: float64","Ticker
    0.005898
Name: 2000-06-20 00:00:00, dtype: float64","Ticker
    0.01262
Name: 2000-06-21 00:00:00, dtype: float64","Ticker
   -0.031292
Name: 2000-06-22 00:00:00, dtype: float64","Ticker
   -0.023242
Name: 2000-06-23 00:00:00, dtype: float64",,,"Ticker
    0.017366
Name: 2000-06-26 00:00:00, dtype: float64","Ticker
   -0.013589
Name: 2000-06-27 00:00:00, dtype: float64","Ticker
    0.021089
Name: 2000-06-28 00:00:00, dtype: float64","Ticker
   -0.016016
Name: 2000-06-29 00:00:00, dtype: float64","Ticker
    0.022924
Name: 2000-06-30 00:00:00, dtype: float64",,,"Ticker
    0.00651
Name: 2000-07-03 00:00:00, dtype: float64",,"Ticker
   -0.032273
Name: 2000-07-05 00:00:00, dtype: float64","Ticker
    0.025231
Name: 2000-07-06 00:00:00, dtype: float64","Ticker
    0.015813
Name: 2000-07-07 00:00:00, dtype: float64",
^IXIC,2000-08-22,,,"Ticker
    0.015891
Name: 2000-08-14 00:00:00, dtype: float64","Ticker
    0.000512
Name: 2000-08-15 00:00:00, dtype: float64","Ticker
    0.002477
Name: 2000-08-16 00:00:00, dtype: float64","Ticker
    0.020634
Name: 2000-08-17 00:00:00, dtype: float64","Ticker
   -0.002672
Name: 2000-08-18 00:00:00, dtype: float64",,,"Ticker
    0.005804
Name: 2000-08-21 00:00:00, dtype: float64","Ticker
    0.00128
Name: 2000-08-22 00:00:00, dtype: float64","Ticker
    0.013339
Name: 2000-08-23 00:00:00, dtype: float64","Ticker
    0.010538
Name: 2000-08-24 00:00:00, dtype: float64","Ticker
   -0.002615
Name: 2000-08-25 00:00:00, dtype: float64",,,"Ticker
    0.006904
Name: 2000-08-28 00:00:00, dtype: float64","Ticker
    0.002845
Name: 2000-08-29 00:00:00, dtype: float64","Ticker
    0.005301
Name: 2000-08-30 00:00:00, dtype: float64","Ticker
    0.024987
Name: 2000-08-31 00:00:00, dtype: float64","Ticker
    0.006652
Name: 2000-09-01 00:00:00, dtype: float64"
^IXIC,2000-10-03,,,"Ticker
   -0.016442
Name: 2000-09-25 00:00:00, dtype: float64","Ticker
   -0.013931
Name: 2000-09-26 00:00:00, dtype: float64","Ticker
   -0.008891
Name: 2000-09-27 00:00:00, dtype: float64","Ticker
    0.033373
Name: 2000-09-28 00:00:00, dtype: float64","Ticker
   -0.027922
Name: 2000-09-29 00:00:00, dtype: float64",,,"Ticker
   -0.028294
Name: 2000-10-02 00:00:00, dtype: float64","Ticker
   -0.031682
Name: 2000-10-03 00:00:00, dtype: float64","Ticker
    0.019466
Name: 2000-10-04 00:00:00, dtype: float64","Ticker
   -0.014476
Name: 2000-10-05 00:00:00, dtype: float64","Ticker
   -0.031995
Name: 2000-10-06 00:00:00, dtype: float64",,,"Ticker
   -0.001622
Name: 2000-10-09 00:00:00, dtype: float64","Ticker
   -0.034277
Name: 2000-10-10 00:00:00, dtype: float64","Ticker
   -0.022234
Name: 2000-10-11 00:00:00, dtype: float64","Ticker
   -0.029607
Name: 2000-10-12 00:00:00, dtype: float64","Ticker
    0.078737
Name: 2000-10-13 00:00:00, dtype: float64"
^IXIC,2000-11-15,,"Ticker
   -0.010248
Name: 2000-11-06 00:00:00, dtype: float64","Ticker
   -0.000123
Name: 2000-11-07 00:00:00, dtype: float64","Ticker
   -0.053894
Name: 2000-11-08 00:00:00, dtype: float64","Ticker
   -0.009701
Name: 2000-11-09 00:00:00, dtype: float64","Ticker
   -0.053544
Name: 2000-11-10 00:00:00, dtype: float64",,,"Ticker
   -0.020558
Name: 2000-11-13 00:00:00, dtype: float64","Ticker
    0.057825
Name: 2000-11-14 00:00:00, dtype: float64","Ticker
    0.008674
Name: 2000-11-15 00:00:00, dtype: float64","Ticker
   -0.042208
Name: 2000-11-16 00:00:00, dtype: float64","Ticker
   -0.001547
Name: 2000-11-17 00:00:00, dtype: float64",,,"Ticker
   -0.050063
Name: 2000-11-20 00:00:00, dtype: float64","Ticker
   -0.001457
Name: 2000-11-21 00:00:00, dtype: float64","Ticker
   -0.040436
Name: 2000-11-22 00:00:00, dtype: float64",,"Ticker
    0.054091
Name: 2000-11-24 00:00:00, dtype: float64",
^IXIC,2000-12-19,,,"Ticker
    0.033478
Name: 2000-12-11 00:00:00, dtype: float64","Ticker
   -0.027638
Name: 2000-12-12 00:00:00, dtype: float64","Ticker
   -0.037179
Name: 2000-12-13 00:00:00, dtype: float64","Ticker
   -0.033393
Name: 2000-12-14 00:00:00, dtype: float64","Ticker
   -0.027575
Name: 2000-12-15 00:00:00, dtype: float64",,,"Ticker
   -0.010836
Name: 2000-12-18 00:00:00, dtype: float64","Ticker
   -0.042983
Name: 2000-12-19 00:00:00, dtype: float64","Ticker
   -0.071238
Name: 2000-12-20 00:00:00, dtype: float64","Ticker
    0.003146
Name: 2000-12-21 00:00:00, dtype: float64","Ticker
    0.075594
Name: 2000-12-22 00:00:00, dtype: float64",,,,"Ticker
   -0.009336
Name: 2000-12-26 00:00:00, dtype: float64","Ticker
    0.01838
Name: 2000-12-27 00:00:00, dtype: float64","Ticker
    0.00725
Name: 2000-12-28 00:00:00, dtype: float64","Ticker
   -0.034108
Name: 2000-12-29 00:00:00, dtype: float64"
^IXIC,2001-01-31,,"Ticker
   -0.004501
Name: 2001-01-22 00:00:00, dtype: float64","Ticker
    0.029907
Name: 2001-01-23 00:00:00, dtype: float64","Ticker
    0.006605
Name: 2001-01-24 00:00:00, dtype: float64","Ticker
   -0.036679
Name: 2001-01-25 00:00:00, dtype: float64","Ticker
    0.00981
Name: 2001-01-26 00:00:00, dtype: float64",,,"Ticker
    0.020508
Name: 2001-01-29 00:00:00, dtype: float64","Ticker
    0.000004
Name: 2001-01-30 00:00:00, dtype: float64","Ticker
   -0.023119
Name: 2001-01-31 00:00:00, dtype: float64","Ticker
    0.003628
Name: 2001-02-01 00:00:00, dtype: float64","Ticker
   -0.043945
Name: 2001-02-02 00:00:00, dtype: float64",,,"Ticker
   -0.006499
Name: 2001-02-05 00:00:00, dtype: float64","Ticker
    0.008051
Name: 2001-02-06 00:00:00, dtype: float64","Ticker
   -0.021269
Name: 2001-02-07 00:00:00, dtype: float64","Ticker
   -0.017547
Name: 2001-02-08 00:00:00, dtype: float64","Ticker
   -0.035553
Name: 2001-02-09 00:00:00, dtype: float64",
^IXIC,2001-03-20,,,"Ticker
   -0.063036
Name: 2001-03-12 00:00:00, dtype: float64","Ticker
    0.047521
Name: 2001-03-13 00:00:00, dtype: float64","Ticker
   -0.021188
Name: 2001-03-14 00:00:00, dtype: float64","Ticker
   -0.015912
Name: 2001-03-15 00:00:00, dtype: float64","Ticker
   -0.025661
Name: 2001-03-16 00:00:00, dtype: float64",,,"Ticker
    0.031874
Name: 2001-03-19 00:00:00, dtype: float64","Ticker
   -0.048043
Name: 2001-03-20 00:00:00, dtype: float64","Ticker
   -0.014649
Name: 2001-03-21 00:00:00, dtype: float64","Ticker
    0.036864
Name: 2001-03-22 00:00:00, dtype: float64","Ticker
    0.016325
Name: 2001-03-23 00:00:00, dtype: float64",,,"Ticker
   -0.005283
Name: 2001-03-26 00:00:00, dtype: float64","Ticker
    0.028012
Name: 2001-03-27 00:00:00, dtype: float64","Ticker
   -0.059881
Name: 2001-03-28 00:00:00, dtype: float64","Ticker
   -0.0181
Name: 2001-03-29 00:00:00, dtype: float64","Ticker
    0.010815
Name: 2001-03-30 00:00:00, dtype: float64"
